dataset,shift,estimator,scorer,type,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1_score-mean,f1_score-std,roc_auc_score-mean,roc_auc_score-std
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR']}],supervised,Unknown,0.91688654353562,,0.917471536506389,,0.9168151928168234,,0.917471536506389,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.001']}],supervised,Unknown,0.8839050131926122,,0.8852129104139828,,0.88322938608791,,0.8852129104139828,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.002']}],supervised,Unknown,0.899736147757256,,0.9007973259983983,,0.8993721653558051,,0.9007973259983983,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.005']}],supervised,Unknown,0.9116094986807388,,0.9124020751366595,,0.9114473001430247,,0.9124020751366596,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.01']}],supervised,Unknown,0.9182058047493403,,0.9190209254552417,,0.9180461451259992,,0.9190209254552418,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.02']}],supervised,Unknown,0.9182058047493403,,0.9189791441802165,,0.9180649886582082,,0.9189791441802165,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.05']}],supervised,Unknown,0.924802110817942,,0.9255144319487483,,0.9246966567937248,,0.9255144319487483,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.1']}],supervised,Unknown,0.920844327176781,,0.9215347655025938,,0.9207411909531331,,0.9215347655025938,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.2']}],supervised,Unknown,0.91688654353562,,0.9175550990564395,,0.9167862207383626,,0.9175550990564395,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C0.5']}],supervised,Unknown,0.9182058047493403,,0.9187702378050904,,0.9181419996143392,,0.9187702378050903,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C1.0']}],supervised,Unknown,0.91688654353562,,0.917471536506389,,0.9168151928168234,,0.917471536506389,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C10.0']}],supervised,Unknown,0.8284960422163589,,0.825987953065701,,0.8237783794079276,,0.825987953065701,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C100.0']}],supervised,Unknown,0.7915567282321899,,0.7883290971762822,,0.7820690936093383,,0.7883290971762822,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C1000.0']}],supervised,Unknown,0.7361477572559367,,0.7319034852546917,,0.7150244328113381,,0.7319034852546917,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C2.0']}],supervised,Unknown,0.8707124010554089,,0.8691340830751018,,0.8692617087037894,,0.8691340830751018,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C20.0']}],supervised,Unknown,0.8100263852242744,,0.8072211970335295,,0.8035062770505147,,0.8072211970335295,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C200.0']}],supervised,Unknown,0.7968337730870713,,0.7936910274711884,,0.788070035841463,,0.7936910274711882,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C5.0']}],supervised,Unknown,0.8548812664907651,,0.8528393858152572,,0.8522083387433433,,0.8528393858152572,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C50.0']}],supervised,Unknown,0.8113456464379947,,0.8084781170572055,,0.8045750310236518,,0.8084781170572055,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['LR_C500.0']}],supervised,Unknown,0.7889182058047494,,0.7856481320288291,,0.7790534597922459,,0.7856481320288291,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC']}],supervised,Unknown,0.9234828496042217,,0.9242992932000975,,0.9233334906017412,,0.9242992932000975,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma0.001']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma0.01']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma0.1']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma1.0']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma10.0']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma100.0']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.001_Gamma1000.0']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma0.001']}],supervised,Unknown,0.4920844327176781,,0.5,,0.3245755851524207,,0.5,
Phishing,ip_adress$\rightarrow$no_ip_adress,NO_DA_SOURCE_ONLY_BASE_ESTIM[param_grid={'finalestimator__estimator_name': ['SVC_C0.01_Gamma0.01']}],supervised,Unknown,0.8403693931398417,,0.8423975488318651,,0.837944506823584,,0.8423975488318652,
